City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Bull Savanna,JM,83.7,overcast clouds,17.8868,-77.5902,Big Red's
414,Kaele,CM,87.94,broken clouds,10.1092,14.4508,Hôtel Les Palmiers
415,Tsiroanomandidy,MG,78.26,broken clouds,-18.7667,46.0333,Hotel du Bongolave
420,Gorontalo,ID,75.96,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
426,Santiago Del Estero,AR,80.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
428,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
430,Cabo San Lucas,MX,81.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
434,Tabas,IR,75.6,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
438,Dangara,IN,77.86,clear sky,29.6799,75.8931,Mirchi Hotel & Restaurant Tohana
439,Calatayud,ES,78.55,broken clouds,41.3535,-1.6432,Globales Castillo de Ayud
441,Aranos,,89.19,scattered clouds,-24.1333,19.1167,Ley-Lia Guest House
444,Capitao Poco,BR,88.07,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
446,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
448,La Asuncion,VE,84.97,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
449,Puerto Colombia,CO,86.86,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
451,Sibolga,ID,77.22,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
454,Key Largo,US,85.01,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
458,Honiara,SB,77.04,scattered clouds,-9.4333,159.95,Heritage Park Hotel
464,Pedernales,DO,84.94,broken clouds,18.0384,-71.744,Hotel Costa Marina
465,Kalmunai,LK,81.41,scattered clouds,7.4167,81.8167,VS Villa
468,Biscarrosse,FR,82.35,clear sky,44.3945,-1.1672,Saint Hubert
470,Sorong,ID,79.45,overcast clouds,-0.8833,131.25,waigo splash hotel
473,Guaimaro,CU,86.5,broken clouds,21.05,-77.35,La Constitución de Guáimaro
475,Kupang,ID,80.31,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
479,Simpang,ID,75.47,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
487,Bubaque,GW,84.06,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
490,Praia Da Vitoria,PT,75.45,few clouds,38.7333,-27.0667,Hotel Branco I
493,San Pedro,PH,82.31,clear sky,14.35,121.0167,Villa Veronica Resort Private Pool
494,Morondava,MG,79.11,scattered clouds,-20.2833,44.2833,La Case Bambou
495,Miandrivazo,MG,84.54,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
496,Tam Ky,VN,78.78,broken clouds,15.5667,108.4833,Khách Sạn Đông Á
503,Bayji,IQ,77.16,clear sky,34.9311,43.487,مروان /عدنان
